year,rank,artist,song,gender,queerFlag,lyricFlag,relationshipType,sampleLyrics,artistID
2008,1,Flo Rida Featuring T-Pain,Low,man,0,0,,,
2008,2,Leona Lewis,Bleeding Love,woman,0,0,,,
2008,3,Alicia Keys,No One,woman,0,0,,,
2008,4,Lil Wayne Featuring Static Major,Lollipop,man,0,0,,,
2008,5,Timbaland Featuring OneRepublic,Apologize,man,0,0,,,
2008,6,Jordin Sparks Duet With Chris Brown,No Air,mixed,0,0,,,
2008,7,Sara Bareilles,Love Song,woman,0,0,,,
2008,8,Usher Featuring Young Jeezy,Love In This Club,man,0,0,,,
2008,9,Chris Brown,With You,man,0,0,,,
2008,10,Chris Brown,Forever,man,0,0,,,
2008,11,Ray J & Yung Berg,Sexy Can I,man,0,0,,,
2008,12,Rihanna,Take A Bow,woman,0,0,,,
2008,13,Coldplay,Viva La Vida,man,0,0,,,
2008,14,Katy Perry,I Kissed A Girl,woman,0,1,,"I kissed a girl and I liked it, The taste of her cherry chapstick",
2008,15,T.I.,Whatever You Like,man,0,0,,,
2008,16,Rihanna,Disturbia,woman,0,0,,,
2008,17,Rihanna,Don't Stop The Music,woman,0,0,,,
2008,18,Natasha Bedingfield,Pocketful Of Sunshine,woman,0,0,,,
2008,19,Chris Brown Featuring T-Pain,Kiss Kiss,man,0,0,,,
2008,20,Ne-Yo,Closer,man,0,0,,,
2008,21,Colbie Caillat,Bubbly,woman,0,0,,,
2008,22,Mariah Carey,Touch My Body,woman,0,0,,,
2008,23,Madonna Featuring Justin Timberlake & Timbaland,4 Minutes,mixed,0,0,,,
2008,24,P!nk,So What,woman,0,0,,,
2008,25,Finger Eleven,Paralyzer,man,0,0,,,
2008,26,Fergie,Clumsy,woman,1,0,Straight,,Kesha
2008,27,Jason Mraz,I'm Yours,man,1,0,Unspecified,,Adam Lambert
2008,28,Jesse McCartney,Leavin',man,0,0,,,
2008,29,Kardinal Offishall Featuring Akon,Dangerous,man,0,0,,,
2008,30,Jordin Sparks,Tattoo,woman,0,0,,,
2008,31,Miley Cyrus,See You Again,nb,1,0,Unspecified,,Ava Max
2008,32,Metro Station,Shake It,man,0,0,,,
2008,33,OneRepublic,Stop And Stare,man,0,0,,,
2008,34,Sean Kingston,Take You There,man,0,0,,,
2008,35,M.I.A.,Paper Planes,woman,0,0,,,
2008,36,Katy Perry,Hot N Cold,woman,0,0,,,
2008,37,T.I. Featuring Rihanna,Live Your Life,mixed,0,0,,,
2008,38,Plies Featuring Ne-Yo,Bust It Baby Part 2,man,0,0,,,
2008,39,Estelle Featuring Kanye West,American Boy,mixed,0,0,,,
2008,40,Lil Wayne Featuring T-Pain,Got Money,man,0,0,,,
2008,41,Taylor Swift,Our Song,woman,0,0,,,
2008,42,Danity Kane,Damaged,woman,0,0,,,
2008,43,Lil Wayne,A Milli,man,0,0,,,
2008,44,Buckcherry,Sorry,man,0,0,,,
2008,45,Webbie Featuring Lil' Phat & Lil' Boosie,Independent,man,0,0,,,
2008,46,T-Pain Featuring Lil Wayne,Can't Believe It,man,0,0,,,
2008,47,Alicia Keys,Like You'll Never See Me Again,woman,0,0,,,
2008,48,Taylor Swift,Teardrops On My Guitar,woman,0,0,,,
2008,49,The Pussycat Dolls,When I Grow Up,woman,0,0,,,
2008,50,Snoop Dogg,Sensual Seduction,man,0,0,,,
2008,51,Colby O'Donis Featuring Akon,What You Got,man,0,0,,,
2008,52,3 Doors Down,It's Not My Time,man,0,0,,,
2008,53,Leona Lewis,Better In Time,woman,0,0,,,
2008,54,Soulja Boy Tell'em,Crank That (Soulja Boy),man,0,0,,,
2008,55,Linkin Park,Shadow Of The Day,man,0,0,,,
2008,56,"Wyclef Jean Featuring Akon, Lil Wayne & Niia",Sweetest Girl (Dollar Bill),mixed,0,0,,,
2008,57,Ne-Yo,Miss Independent,man,0,0,,,
2008,58,Secondhand Serenade,Fall For You,man,0,0,,,
2008,59,Flo Rida Featuring will.i.am,In The Ayer,man,0,0,,,
2008,60,John Mayer,Say,man,0,0,,,
2008,61,Jordin Sparks,One Step At A Time,woman,0,0,,,
2008,62,Rihanna Featuring Ne-Yo,Hate That I Love You,mixed,0,0,,,
2008,63,Lupe Fiasco Featuring Matthew Santos,Superstar,man,0,0,,,
2008,64,J. Holiday,Suffocate,man,0,0,,,
2008,65,Kevin Rudolf Featuring Lil Wayne,Let It Rock,man,0,0,,,
2008,66,David Banner Featuring Chris Brown,Get Like Me,man,0,0,,,
2008,67,Colbie Caillat,Realize,woman,0,0,,,
2008,68,Young Jeezy Featuring Kanye West,Put On,man,0,0,,,
2008,69,David Cook,The Time Of My Life,man,0,0,,,
2008,70,"Three 6 Mafia Featuring Project Pat, Young D & Superpower",Lolli Lolli (Pop That Body),man,0,0,,,
2008,71,Baby Bash Featuring T-Pain,Cyclone,man,0,0,,,
2008,72,Natasha Bedingfield Featuring Sean Kingston,Love Like This,mixed,0,0,,,
2008,73,Jonas Brothers,Burnin' Up,man,0,0,,,
2008,74,Kanye West,Love Lockdown,man,0,0,,,
2008,75,The-Dream,I Luv Your Girl,man,0,0,,,
2008,76,David Archuleta,Crush,man,0,0,,,
2008,77,Plies Featuring Akon,Hypnotized,man,0,0,,,
2008,78,Fergie,Big Girls Don't Cry,woman,1,0,Unspecified,,The Black Eyed Peas/Fergie
2008,79,Kanye West Featuring T-Pain,Good Life,man,0,0,,,
2008,80,Britney Spears,Womanizer,woman,0,0,,,
2008,81,Taylor Swift,Love Story,woman,0,0,,,
2008,82,Mary J. Blige,Just Fine,woman,0,0,,,
2008,83,Britney Spears,Piece Of Me,woman,0,0,,,
2008,84,Rick Ross Featuring T-Pain,The Boss,man,0,0,,,
2008,85,Kid Rock,All Summer Long,man,0,0,,,
2008,86,Trey Songz,Can't Help But Wait,man,0,0,,,
2008,87,Gavin DeGraw,In Love With A Girl,man,0,0,,,
2008,88,The Game Featuring Lil Wayne,My Life,man,0,0,,,
2008,89,Keyshia Cole,I Remember,woman,0,0,,,
2008,90,Kanye West Featuring Dwele,Flashing Lights,man,0,0,,,
2008,91,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,Mrs. Officer,man,0,0,,,
2008,92,Miley Cyrus,7 Things,nb,1,0,Unspecified,,Miley Cyrus
2008,93,Trace Adkins,You're Gonna Miss This,man,0,0,,,
2008,94,Gavin Rossdale,Love Remains The Same,man,1,0,Unspecified,,Gavin Rossdale
2008,95,Daughtry,Feels Like Tonight,man,0,0,,,
2008,96,Timbaland Featuring Keri Hilson,The Way I Are,mixed,0,0,,,
2008,97,Saving Abel,Addicted,man,0,0,,,
2008,98,Santana Featuring Chad Kroeger,Into The Night,man,0,0,,,
2008,99,Keyshia Cole,Heaven Sent,woman,0,0,,,
2008,100,2 Pistols Featuring T-Pain & Tay Dizm,She Got It,man,0,0,,,
2009,1,The Black Eyed Peas,Boom Boom Pow,mixed,1,0,Straight,,The Black Eyed Peas/Fergie
2009,2,Lady Gaga,Poker Face,woman,1,1,Both,"No, he can't read my poker face, (She's got me like nobody)",Lady Gaga
2009,3,Lady Gaga Featuring Colby O'Donis,Just Dance,mixed,1,0,Straight,,Lady Gaga
2009,4,The Black Eyed Peas,I Gotta Feeling,mixed,1,0,Straight,,The Black Eyed Peas/Fergie
2009,5,Taylor Swift,Love Story,woman,0,0,,,
2009,6,Flo Rida,Right Round,man,0,0,,,
2009,7,Jason Mraz,I'm Yours,man,1,0,Unspecified,,Jason Mraz
2009,8,Beyonce,Single Ladies (Put A Ring On It),woman,0,0,,,
2009,9,Kanye West,Heartless,man,0,0,,,
2009,10,The All-American Rejects,Gives You Hell,man,0,0,,,
2009,11,Taylor Swift,You Belong With Me,woman,0,0,,,
2009,12,T.I. Featuring Justin Timberlake,Dead And Gone,man,0,0,,,
2009,13,The Fray,You Found Me,man,0,0,,,
2009,14,Kings Of Leon,Use Somebody,man,0,0,,,
2009,15,Keri Hilson Featuring Kanye West & Ne-Yo,Knock You Down,mixed,0,0,,,
2009,16,Jamie Foxx Featuring T-Pain,Blame It,man,0,0,,,
2009,17,Pitbull,I Know You Want Me (Calle Ocho),man,0,0,,,
2009,18,T.I. Featuring Rihanna,Live Your Life,mixed,0,0,,,
2009,19,Soulja Boy Tell 'em Featuring Sammie,Kiss Me Thru The Phone,man,0,0,,,
2009,20,Jay Sean Featuring Lil Wayne,Down,man,0,0,,,
2009,21,Miley Cyrus,The Climb,nb,1,0,None,,Miley Cyrus
2009,22,Drake,Best I Ever Had,man,0,0,,,
2009,23,Kelly Clarkson,My Life Would Suck Without You,woman,0,0,,,
2009,24,Beyonce,Halo,woman,0,0,,,
2009,25,Katy Perry,Hot N Cold,woman,0,0,,,
2009,26,Shinedown,Second Chance,man,0,0,,,
2009,27,Britney Spears,Circus,woman,0,0,,,
2009,28,Kid Cudi,Day 'N' Nite,man,0,0,,,
2009,29,Miley Cyrus,Party In The U.S.A.,nb,1,0,None,,Miley Cyrus
2009,30,3OH!3,Don't Trust Me,man,0,0,,,
2009,31,"Jay-Z, Rihanna & Kanye West",Run This Town,mixed,0,0,,,
2009,32,Kevin Rudolf Featuring Lil Wayne,Let It Rock,man,0,0,,,
2009,33,Sean Kingston,Fire Burning,man,0,0,,,
2009,34,Jason Derulo,Whatcha Say,man,0,0,,,
2009,35,Lady Gaga,LoveGame,woman,1,0,Straight,,Lady Gaga
2009,36,Katy Perry,Waking Up In Vegas,woman,0,0,,,
2009,37,Jeremih,Birthday Sex,man,0,0,,,
2009,38,P!nk,Sober,woman,0,0,,,
2009,39,Britney Spears,Womanizer,woman,0,0,,,
2009,40,T.I.,Whatever You Like,man,0,0,,,
2009,41,Mariah Carey,Obsessed,woman,0,0,,,
2009,42,Ne-Yo,Mad,man,0,0,,,
2009,43,Cobra Starship Featuring Leighton Meester,Good Girls Go Bad,mixed,0,0,,,
2009,44,Kanye West,Love Lockdown,man,0,0,,,
2009,45,P!nk,So What,woman,0,0,,,
2009,46,Pitbull,Hotel Room Service,man,0,0,,,
2009,47,"Eminem, Dr. Dre & 50 Cent",Crack A Bottle,man,0,0,,,
2009,48,Beyonce,If I Were A Boy,woman,0,0,,,
2009,49,Keri Hilson Featuring Lil Wayne,Turnin Me On,mixed,0,0,,,
2009,50,The Pussycat Dolls,I Hate This Part,woman,0,0,,,
2009,51,Nickelback,Gotta Be Somebody,man,0,0,,,
2009,52,P!nk,Please Don't Leave Me,woman,0,0,,,
2009,53,Lady Gaga,Paparazzi,woman,1,0,Straight,,Lady Gaga
2009,54,Akon Featuring Colby O'Donis & Kardinal Offishall,Beautiful,man,0,0,,,
2009,55,Coldplay,Viva La Vida,man,0,0,,,
2009,56,Akon,Right Now (Na Na Na),man,0,0,,,
2009,57,Jordin Sparks,Battlefield,woman,0,0,,,
2009,58,Flo Rida Featuring Wynter,Sugar,mixed,0,0,,,
2009,59,Ne-Yo,Miss Independent,man,0,0,,,
2009,60,Owl City,Fireflies,man,0,0,,,
2009,61,Linkin Park,New Divide,man,0,0,,,
2009,62,Jay-Z + Alicia Keys,Empire State Of Mind,mixed,0,0,,,
2009,63,Daughtry,No Surprise,man,0,0,,,
2009,64,Shakira,She Wolf,woman,0,0,,,
2009,65,Mario Featuring Gucci Mane & Sean Garrett,Break Up,man,0,0,,,
2009,66,Beyonce,Sweet Dreams,woman,0,0,,,
2009,67,Young Money,Every Girl,man,0,0,,,
2009,68,Colbie Caillat,Fallin' For You,woman,0,0,,,
2009,69,The Veronicas,Untouched,woman,1,0,Unspecified,,The Veronicas
2009,70,Nickelback,If Today Was Your Last Day,man,0,0,,,
2009,71,Fabolous Featuring The-Dream,Throw It In The Bag,man,0,0,,,
2009,72,Boys Like Girls,Love Drunk,man,0,0,,,
2009,73,Asher Roth,I Love College,man,0,0,,,
2009,74,Britney Spears,If U Seek Amy,woman,0,1,,"All of the boys and all of the girls are begging to, if you seek Amy",
2009,75,Jason Aldean,Big Green Tractor,man,0,0,,,
2009,76,Taylor Swift,White Horse,woman,0,0,,,
2009,77,Rihanna,Disturbia,woman,0,0,,,
2009,78,Green Day,21 Guns,man,1,0,Unspecified,,Green Day
2009,79,Soulja Boy Tell'em,Turn My Swag On,man,0,0,,,
2009,80,The-Dream,Rockin' That Thang,man,0,0,,,
2009,81,Zac Brown Band,Chicken Fried,man,0,0,,,
2009,82,Beyonce,Diva,woman,0,0,,,
2009,83,Iyaz,Replay,man,0,0,,,
2009,84,Brad Paisley,Then,man,0,0,,,
2009,85,Rob Thomas,Her Diamonds,man,0,0,,,
2009,86,Jesse McCartney Featuring Ludacris,How Do You Sleep?,man,0,0,,,
2009,87,Britney Spears,3,woman,0,0,,,
2009,88,"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,man,0,0,,,
2009,89,Justin Bieber,One Time,man,0,0,,,
2009,90,Lady Antebellum,I Run To You,mixed,0,0,,,
2009,91,Kelly Clarkson,I Do Not Hook Up,woman,0,0,,,
2009,92,John Legend Featuring Andre 3000,Green Light,man,0,0,,,
2009,93,Billy Currington,People Are Crazy,man,0,0,,,
2009,94,Zac Brown Band,Whatever It Is,man,0,0,,,
2009,95,Kelly Clarkson,Already Gone,woman,0,0,,,
2009,96,Kristinia DeBarge,Goodbye,woman,0,0,,,
2009,97,Michael Franti & Spearhead Featuring Cherine Anderson,Say Hey (I Love You),mixed,0,0,,,
2009,98,Jim Jones & Ron Browz Featuring Juelz Santana,Pop Champagne,man,0,0,,,
2009,99,Maxwell,Pretty Wings,man,0,0,,,
2009,100,The Fray,Never Say Never,man,0,0,,,
2010,1,Ke$ha,TiK ToK,woman,1,0,Straight,,Kesha
2010,2,Lady Antebellum,Need You Now,mixed,0,0,,,
2010,3,Train,"Hey, Soul Sister",man,0,0,,,
2010,4,Katy Perry Featuring Snoop Dogg,California Gurls,mixed,0,0,,,
2010,5,Usher Featuring will.i.am,OMG,man,0,0,,,
2010,6,B.o.B Featuring Hayley Williams,Airplanes,mixed,0,0,,,
2010,7,Eminem Featuring Rihanna,Love The Way You Lie,mixed,0,0,,,
2010,8,Lady Gaga,Bad Romance,woman,1,0,Unspecified,,Lady Gaga
2010,9,Taio Cruz,Dynamite,man,0,0,,,
2010,10,Taio Cruz Featuring Ludacris,Break Your Heart,man,0,0,,,
2010,11,B.o.B Featuring Bruno Mars,Nothin' On You,man,0,0,,,
2010,12,Enrique Iglesias Featuring Pitbull,I Like It,man,0,0,,,
2010,13,Young Money Featuring Lloyd,BedRock,man,0,0,,,
2010,14,Jason Derulo,In My Head,man,0,0,,,
2010,15,Rihanna,Rude Boy,woman,0,0,,,
2010,16,Lady Gaga Featuring Beyonce,Telephone,woman,1,0,Straight,,Lady Gaga
2010,17,Katy Perry,Teenage Dream,woman,0,0,,,
2010,18,Bruno Mars,Just The Way You Are,man,0,0,,,
2010,19,Mike Posner,Cooler Than Me,man,0,0,,,
2010,20,The Black Eyed Peas,Imma Be,mixed,1,0,Straight,,The Black Eyed Peas/Fergie
2010,21,Jay-Z + Alicia Keys,Empire State Of Mind,mixed,0,0,,,
2010,22,Usher Featuring Pitbull,DJ Got Us Fallin' In Love,man,0,0,,,
2010,23,Travie McCoy Featuring Bruno Mars,Billionaire,man,0,0,,,
2010,24,Eminem,Not Afraid,man,0,0,,,
2010,25,Iyaz,Replay,man,0,0,,,
2010,26,David Guetta Featuring Akon,Sexy Chick,man,0,0,,,
2010,27,The Script,Breakeven,man,0,0,,,
2010,28,Ke$ha,Your Love Is My Drug,woman,1,0,Straight,,Kesha
2010,29,The Black Eyed Peas,I Gotta Feeling,mixed,1,0,Straight,,The Black Eyed Peas/Fergie
2010,30,Owl City,Fireflies,man,0,0,,,
2010,31,Trey Songz Featuring Fabolous,Say Aah,man,0,0,,,
2010,32,Drake,Find Your Love,man,0,0,,,
2010,33,Lady Gaga,Alejandro,woman,1,0,Straight,,Lady Gaga
2010,34,Jason Derulo,Ridin' Solo,man,0,0,,,
2010,35,Nelly,Just A Dream,man,0,0,,,
2010,36,Ludacris,How Low,man,0,0,,,
2010,37,Far*East Movement Featuring Cataracs & Dev,Like A G6,mixed,0,0,,,
2010,38,Timbaland Featuring Justin Timberlake,Carry Out,man,0,0,,,
2010,39,Michael Buble,Haven't Met You Yet,man,0,0,,,
2010,40,Flo Rida Featuring David Guetta,Club Can't Handle Me,man,0,0,,,
2010,41,Jay Sean Featuring Lil Wayne,Down,man,0,0,,,
2010,42,La Roux,Bulletproof,mixed,1,0,Unspecified,,La Roux
2010,43,Jason Derulo,Whatcha Say,man,0,0,,,
2010,44,Justin Bieber Featuring Ludacris,Baby,man,0,0,,,
2010,45,Adam Lambert,Whataya Want From Me,man,1,0,Unspecified,,Adam Lambert
2010,46,Taylor Swift,Mine,woman,0,0,,,
2010,47,Rihanna,Only Girl (In The World),woman,0,0,,,
2010,48,Kris Allen,Live Like We're Dying,man,0,0,,,
2010,49,Rihanna Featuring Jeezy,Hard,mixed,0,0,,,
2010,50,Jay-Z + Mr. Hudson,Young Forever,man,0,0,,,
2010,51,Ke$ha Featuring 3OH!3,Blah Blah Blah,mixed,1,0,Straight,,Kesha
2010,52,Trey Songz Featuring Nicki Minaj,Bottoms Up,woman,0,0,,,
2010,53,Jay Sean Featuring Sean Paul & Lil Jon,Do You Remember,man,0,0,,,
2010,54,OneRepublic,All The Right Moves,man,0,0,,,
2010,55,Orianthi,According To You,woman,0,0,,,
2010,56,Ludacris Featuring Nicki Minaj,My Chick Bad,mixed,0,0,,,
2010,57,Taylor Swift,You Belong With Me,woman,0,0,,,
2010,58,The Black Eyed Peas,Meet Me Halfway,mixed,1,0,Straight,,The Black Eyed Peas/Fergie
2010,59,Ke$ha,Take It Off,woman,1,0,Unspecified,,Kesha
2010,60,Drake,Over,man,0,0,,,
2010,61,Neon Trees,Animal,mixed,1,0,Unspecified,,Neon Trees
2010,62,Maroon 5,Misery,man,0,0,,,
2010,63,B.o.B Featuring Rivers Cuomo,Magic,man,0,0,,,
2010,64,Lady Gaga,Paparazzi,woman,1,0,Straight,,Lady Gaga
2010,65,New Boyz Featuring Ray J,Tie Me Down,man,0,0,,,
2010,66,Nicki Minaj,Your Love,woman,0,0,,,
2010,67,Miley Cyrus,Party In The U.S.A.,nb,1,0,None,,Miley Cyrus
2010,68,Chris Brown Featuring Tyga & Kevin McCall,Deuces,man,0,0,,,
2010,69,Britney Spears,3,woman,0,0,,,
2010,70,Shontelle,Impossible,woman,0,0,,,
2010,71,"Drake Featuring Kanye West, Lil Wayne & Eminem",Forever,man,0,0,,,
2010,72,Boys Like Girls Featuring Taylor Swift,Two Is Better Than One,mixed,0,0,,,
2010,73,3OH!3 Featuring Ke$ha,My First Kiss,mixed,1,0,Straight,,Kesha
2010,74,Kelly Clarkson,Already Gone,woman,0,0,,,
2010,75,The Black Eyed Peas,Rock That Body,mixed,1,0,Straight,,The Black Eyed Peas/Fergie
2010,76,OneRepublic,Secrets,man,0,0,,,
2010,77,Selena Gomez & The Scene,Naturally,mixed,0,0,,,
2010,78,Alicia Keys,Un-Thinkable (I'm Ready),woman,0,0,,,
2010,79,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",All I Do Is Win,man,0,0,,,
2010,80,"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",I Made It (Cash Money Heroes),man,0,0,,,
2010,81,Sugarland,Stuck Like Glue,mixed,0,0,,,
2010,82,Usher Featuring Plies,Hey Daddy (Daddy's Home),man,0,0,,,
2010,83,Usher,There Goes My Baby,man,0,0,,,
2010,84,Taylor Swift,Today Was A Fairytale,woman,0,0,,,
2010,85,Timbaland Featuring Drake,Say Something,man,0,0,,,
2010,86,Beyonce,Sweet Dreams,woman,0,0,,,
2010,87,Kings Of Leon,Use Somebody,man,0,0,,,
2010,88,Carrie Underwood,Undo It,woman,0,0,,,
2010,89,Sean Kingston & Justin Bieber,Eenie Meenie,man,0,0,,,
2010,90,Lil Wayne Featuring Drake,Right Above It,man,0,0,,,
2010,91,Miranda Lambert,The House That Built Me,woman,0,0,,,
2010,92,The Band Perry,If I Die Young,mixed,0,0,,,
2010,93,Paramore,The Only Exception,mixed,0,0,,,
2010,94,Lady Antebellum,American Honey,mixed,0,0,,,
2010,95,Sara Bareilles,King Of Anything,woman,0,0,,,
2010,96,Daughtry,Life After You,man,0,0,,,
2010,97,Uncle Kracker,Smile,man,0,0,,,
2010,98,Cali Swag District,Teach Me How To Dougie,man,0,0,,,
2010,99,Alicia Keys,Try Sleeping With A Broken Heart,woman,0,0,,,
2010,100,Jerrod Niemann,"Lover, Lover",man,0,0,,,
2011,1,Adele,Rolling In The Deep,woman,0,0,,,
2011,2,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem,mixed,0,0,,,
2011,3,Katy Perry,Firework,woman,0,0,,,
2011,4,Katy Perry Featuring Kanye West,E.T.,mixed,0,0,,,
2011,5,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",Give Me Everything,mixed,0,0,,,
2011,6,Bruno Mars,Grenade,man,0,0,,,
2011,7,CeeLo Green,Forget You,man,0,0,,,
2011,8,Nicki Minaj,Super Bass,woman,0,0,,,
2011,9,Maroon 5 Featuring Christina Aguilera,Moves Like Jagger,mixed,0,0,,,
2011,10,The Black Eyed Peas,Just Can't Get Enough,mixed,1,0,Straight,,The Black Eyed Peas/Fergie
2011,11,Jennifer Lopez Featuring Pitbull,On The Floor,mixed,0,0,,,
2011,12,Rihanna,S&M,woman,0,0,,,
2011,13,Foster The People,Pumped Up Kicks,man,0,0,,,
2011,14,Katy Perry,Last Friday Night (T.G.I.F.),woman,0,0,,,
2011,15,Bruno Mars,Just The Way You Are,man,0,0,,,
2011,16,Enrique Iglesias Featuring Ludacris & DJ Frank E,Tonight (I'm Lovin' You),man,0,0,,,
2011,17,P!nk,Raise Your Glass,woman,0,0,,,
2011,18,Lady Gaga,Born This Way,woman,1,0,None,,Lady Gaga
2011,19,P!nk,F**kin' Perfect,woman,0,0,,,
2011,20,Rihanna Featuring Drake,What's My Name?,mixed,0,0,,,
