artist,title,shortname,preview
Katy Perry,I Kissed A Girl,ikissedagirl,https://pudding.cool/2021/06/same-gender-lyrics/assets/audio/ikissedagirl.mp3
Usher,Yeah!,yeah,https://p.scdn.co/mp3-preview/8a5e4f8dce6b1a957e235185a4677841fcaafe90?cid=774b29d4f13844c495f206cafdad9c86
Eric Clapton,Wonderful Tonight,wonderful,https://pudding.cool/2021/06/same-gender-lyrics/assets/audio/wonderfultonightX.mp3
TLC,Creep,creep,https://p.scdn.co/mp3-preview/c3ce84cfd8685cd2e64591819f55492332dd3007?cid=774b29d4f13844c495f206cafdad9c86
Lil Nas X,MONTERO (Call Me By Your Name),montero,https://p.scdn.co/mp3-preview/fee76abaab41300456289022f468959d7ab899b5?cid=774b29d4f13844c495f206cafdad9c86
Lady Gaga,Poker Face,pokerface,https://pudding.cool/2021/06/same-gender-lyrics/assets/audio/pokerface.mp3
Britney Spears,If U Seek Amy,amy,https://p.scdn.co/mp3-preview/98b1fdbb36e1f403d4d1a06d84347fd7527179fe?cid=774b29d4f13844c495f206cafdad9c86
Macklemore & Ryan Lewis,Same Love,samelove,https://p.scdn.co/mp3-preview/01be36372701737beaf638b8af25b03694ca5c5d?cid=774b29d4f13844c495f206cafdad9c86
Halsey,Bad At Love,badatlove,https://pudding.cool/2021/06/same-gender-lyrics/assets/audio/badatlove.mp3
Miley Cyrus,Midnight Sky,midnightsky,https://p.scdn.co/mp3-preview/837e5649e915ca76f814a3923612703ed7fed29d?cid=774b29d4f13844c495f206cafdad9c86
Little Big Town,Girl Crush,girlcrush,https://pudding.cool/2021/06/same-gender-lyrics/assets/audio/girlcrush.mp3
Cardi B,Bartier Cardi,bartier,https://p.scdn.co/mp3-preview/d7287b5aa682a642ffba244e6410df7e8da21ee4?cid=774b29d4f13844c495f206cafdad9c86
Cardi B,Money,money,https://pudding.cool/2021/06/same-gender-lyrics/assets/audio/money.mp3
Demi Lovato,Cool for the Summer,cool,https://pudding.cool/2021/06/same-gender-lyrics/assets/audio/coolforthesummer.mp3
Lil Nas X,HOLIDAY,holiday,https://p.scdn.co/mp3-preview/1a3815e2255842f57ffccc5941dba4ab95153167?cid=774b29d4f13844c495f206cafdad9c86
Sam Smith and Demi Lovato,I'm Ready,imready,https://pudding.cool/2021/06/same-gender-lyrics/assets/audio/imready.mp3